Year Species MigrationType 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 361 362 363 364 365
1998 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03 0.05 0.09 0.17 0.35 0.78 1.92 4.76 11.75 26.33 52.57 93.55 152.36 226.14 316.87 425.33 556.09 716.66 923 1172.18 1507.9 1949.97 2538.37 3386.84 4498.65 5736.87 7076.3 8465.52 9978.93 11712.94 13240.93 14155.12 14384.81 14657.28 14932.57 14200.82 13225.11 12153.91 10321.65 8863.98 7823.94 6578.53 5208.42 4839.23 4263.57 3453.44 2700.12 1985.52 1758.4 1956.57 2297.55 2348.99 1960.02 1499.35 1048.26 689.57 494.96 321.1 188.12 106.99 62.31 41.09 32.68 27.92 26.42 26.01 22.9 18.95 14.92 12.32 11.97 14.19 14.27 11.46 8.37 5.49 3.61 2.62 2.17 1.84 1.47 1.33 1.17 0.9 0.69 0.57 0.48 0.42 0.34 0.25 0.19 0.16 0.12 0.1 0.09 0.07 0.06 0.04 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.11 86.17 176.48 193.87 541.88 916.62 1471.33 2770.3 7304.92 12544.8 14752.42 15998.94 2835.21 2433.4 2221.67 3183.34 5224.76 6108.38 9239.31 15422.76 27725.26 22776.62 23359.74 25664.48 32778.63 35186.91 50707.06 61030.26 63939.76 60193.93 65857.42 72741.26 86838.15 94038.45 78446.29 78420.03 75626.47 89095.96 107769.36 110467.62 116287.48 110519.61 102091.23 85729.46 86885.75 75263.3 55115.98 52428.22 46261.45 37959.84 29946.31 23059.95 19745.22 16172.38 11236.23 8783.09 7135.79 7164.11 7118.57 7181.02 8666.23 6609.63 5373.2 4524.45 3422.75 2173.42 1861.98 1388.53 1000.16 685.37 610.71 491.29 422.74 358.42 374.06 392.23 299.89 302.67 382.7 391.96 317.66 390.49 510.89 664.61 460.51 366.45 525.87 681.54 986.82 852.88 532.09 632.29 797.02 707.33 1052.9 1130.09 635.87 424.61 536.51 864.35 695.53 725.87 604.91 725.75 1273.64 702.34 431.19 363.06 274.75 176.51 104.13 58.4 31.51 16.59 8.52 4.28 2.14 1.12 0.56 0.22 0.08 0.04 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.07 0.23 0.6 1.32 2.58 4.68 7.97 12.86 19.92 29.4 42.53 61.09 85.95 121.12 169.71 234.24 313.31 403.3 506.56 631.57 791.43 961.84 1137.86 1351.86 1651.56 2061.57 2625.04 3418.04 4489.29 5814.69 7644.93 10078.47 12457.48 13405.57 13833.03 14981.49 16061.11 16866.09 18038.63 18553.7 18381.46 18271.59 18759.93 18806.58 18907.79 19308.58 20588.74 22539.32 23920.23 23662.88 22167.84 20756.56 19402.57 18961.7 20504.83 21893.65 21231.58 17750.99 14225.88 10407.83 7652.87 5111.28 3253.74 2085.42 1438.11 1028.47 797.91 662.07 590.52 615.86 592.11 616.92 598.05 489.69 369.27 274.2 209.57 186.88 202.54 217.15 200.47 182.62 162.37 121.75 86.12 62.9 40.69 24.93 14.8 8.76 6.34 4.97 3.57 2.73 2.27 1.53 1.19 0.96 0.63 0.45 0.37 0.29 0.22 0.18 0.17 0.16 0.14 0.12 0.08 0.05 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 638.67 2474.27 2446.01 3599.63 11035.69 15137.86 21084.13 21901.49 9520.55 12490.74 4333.8 2659.3 4129.08 6625.84 5376.58 5911.63 7411.22 5750.78 7770.37 8914.11 14643.12 17047.89 18647.75 14908.41 18689.74 41657.66 75938.27 108016.09 129609.46 121386.37 115516.41 104643.58 112350.52 138039.3 125224.68 167661.98 173284.53 153971.75 191649.67 204002.12 198717.95 158362.05 147003.86 137578.06 182332.25 202287.58 225474.02 148343.59 149562.11 171194 178371.31 147512.14 142459.09 168679.03 165535.55 158172.16 154371.66 155724 149572.72 204660.03 164009.75 126406.84 111628.74 106121.14 89576.41 56532.19 36715.77 25289.38 16552.8 12103.74 9508.83 7659.05 8012.16 7828.99 9621.61 7594.47 7205.44 7547.25 7174.14 4324.83 3890.94 2721.99 2760.59 3327.94 3539.54 4405.59 4349.32 5031.66 3868.96 3313.61 2734.03 1854.52 1159.86 822.67 722.28 487.99 405.4 353.76 352.74 240.53 279.87 366.77 225.1 143.88 116.46 130.62 151.17 228.22 35.45 34.05 29.5 22.65 15.79 10.82 7.18 4.64 3.01 1.9 1.16 0.7 0.43 0.25 0.15 0.09 0.05 0.03 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.05 0.09 0.16 0.27 0.43 0.62 0.89 1.28 1.91 3.15 6.12 13.14 29.12 61.47 124.22 246.01 471.08 854.34 1465.81 2330.07 3523.12 5161.41 7260.27 9593.6 11815.31 13580.91 15019.49 16547.49 17767.23 18670.71 20413.47 22596.1 24832.94 28217.58 31050.4 32804.79 35563.94 37328.43 36829.68 37010.96 36161.38 35495.49 34176.73 30200.63 25402.23 21164.79 18148.04 14618.99 11976.01 10699.24 8975.97 6761.38 5060.6 4500.18 4348.52 4225.62 3923.19 3291.95 2763.36 2291.06 1886.12 1680.37 1577.88 1441.82 1250.89 1262.03 1217.75 1212.66 1395.6 1559.5 1511.32 1241.8 920.88 619.2 370.95 189.59 87.28 43.63 23.59 13.79 9.49 7.94 7.17 5.9 4.19 2.86 2.17 1.64 1.2 1.02 0.91 0.73 0.56 0.48 0.42 0.34 0.29 0.27 0.23 0.16 0.09 0.05 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23.69 141.61 263.64 361.46 329.24 403.21 695.86 668.96 637.73 1062.55 1845.45 2089.89 4896.36 5613.81 2539.47 1963.57 3745.36 8646.87 13714.92 25383.28 33247.73 37543.65 47899.37 48845.95 41303.59 47631.88 53682.75 68807.81 68565.73 63243.47 94154.76 109789.16 148053.05 100644.71 120401.37 151234.86 157782.39 183768.75 212291.62 194366.66 228754.09 251763.05 203206.56 186292.16 178453.23 167042.09 164518.39 139365.2 124618.31 105665.97 81726.8 70837.95 53930.77 48219.89 43669.99 41521.45 39752.67 35142.93 35969.96 36279.29 33705.15 28914.65 25493.55 20648.58 19043.77 16691.12 10940.75 14741.2 16044.74 8175.82 6819.21 10443.45 10131.45 19859.86 10701.4 13658.65 11298.48 8602.19 5916.76 5135.89 4416.75 5470.54 3248.65 4076.31 5250.4 2912.66 3526.81 3511.58 3003.81 2728.4 2217.39 2538.98 1639.48 1228.21 1103.23 1161.95 1054.73 821.36 861.01 1219.41 644.26 711.97 479.47 401.16 288.97 170.36 116.67 81.76 58.63 40.51 27.39 18.02 11.67 6.89 4.33 3.11 1.98 1.24 0.77 0.47 0.31 0.18 0.09 0.05 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0.04 0.06 0.09 0.13 0.2 0.3 0.43 0.63 0.89 1.2 1.63 2.28 3.24 4.73 6.96 10.35 15.25 22.91 35.17 51.6 67.43 77.26 81.94 87.99 96.89 105.2 111.02 114.5 116.1 118.26 121.84 127.73 135.16 131.38 117.52 100.99 88.53 85.5 86.98 81.7 68.21 56.86 48.45 39.93 35.1 34.33 30.58 23.69 18.47 15.07 12.23 10.06 8.65 7.33 5.72 4.56 3.85 3.28 2.81 2.45 2.17 1.87 1.57 1.29 1.07 0.98 0.92 0.77 0.6 0.47 0.36 0.26 0.17 0.11 0.08 0.05 0.03 0.02 0.02 0.02 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.49 53.39 259.67 654.73 832.41 705.55 1047.75 908.59 983.49 1052.02 1269.67 2194.51 2611.63 2311.53 2362.41 2636.47 2910.98 3344.46 4762.19 9061.37 9224.1 12884.15 16328.44 15207.72 18216 21023.79 25713.17 51998.14 50284.38 102816.31 113647.93 120757.52 68531.54 44032.46 38696.74 54446.93 54185.49 31925.39 25439.37 32843.87 51716.67 42319.26 43381.78 54550.25 59020.16 110526.27 97264.96 75745.72 49777.93 32634.25 27245.71 20319.98 17100.4 13567.04 11618.42 11923.12 11650.71 13936.58 9167.12 7844.79 6026.21 4071.71 4383.53 4527.49 2663.1 2281.22 2692.41 2926.09 3312.17 3422.18 2025.22 1757.01 1685.88 1473.68 1464.31 1672.73 1407.34 759.8 695.95 646.93 543.93 256.11 226.07 244.14 295.94 391.27 165.92 160.76 74.84 85.67 96.75 132.3 310.19 97.33 104.96 262.16 131.37 151.14 139.16 265.93 204.51 133.65 37 33.35 26.16 18.72 12.64 8.33 5.42 3.52 2.31 1.5 0.98 0.64 0.43 0.3 0.21 0.16 0.12 0.1 0.07 0.06 0.05 0.04 0.03 0.03 0.02 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 Chinook_1 inriver 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.06 0.13 0.28 0.6 1.35 3.08 6.64 13.34 25.32 46.43 79.2 123.2 178.37 244.39 322.59 424.31 568.68 790.79 1163.32 1780.57 2738.58 4106.89 5855.27 8000.8 10713.33 14004.08 16733.86 17955.79 18097.15 17364.23 15645.59 13407.84 11347.36 9606.25 8721.71 8659.59 9090.69 9990.16 11469.83 12942.85 12935.07 11930.43 10829.68 9704.14 9555.15 10413.07 10857.89 9671.67 8398.67 7659.26 6153.18 5020.12 4852.81 4626.47 4360.49 3785.68 3118.02 2183.61 1595.16 1360.21 1039.52 828.99 732.64 642.42 545.56 446.18 353.65 268.01 205.46 156.5 122.37 99.12 88.33 74.74 63.31 62.94 62.08 58.12 44.28 34.63 27.25 19.51 17.07 17.14 18.68 20.79 20.79 19.77 17.91 15.95 14.34 11.75 9.17 6.6 3.51 1.73 1.05 0.64 0.44 0.34 0.22 0.11 0.06 0.04 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 Chinook_1 transport 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 122.45 684.83 872.41 1036.07 369.98 784.59 903.48 2837.3 8411.49 13146.52 3156.32 2483.13 1814.64 1076.28 1942.55 2399.44 3107.79 8924.13 9661.31 21913.46 27031.63 35950.2 75189.96 52910.76 42946.3 64253.31 65088.64 32796.92 23311.22 35555.5 45046.67 61052.41 74939.51 71732.45 85519.79 30853.74 86534.48 84192.62 92290.44 113088.62 242223.14 252507.47 256621.56 213324.83 184832.75 171687.41 146839.14 171452.92 162146.61 139123.69 138887.34 144802.86 126189.85 150220.64 165276.42 161523.69 152492.06 135765.39 124119.3 109236.76 89745.3 77123.01 55211.16 44275.15 35889.84 27194.04 20600.8 17115.98 12431.19 10907.33 10711.36 8422.31 6017.76 5928.06 5814.33 5574.83 4387.92 2915.37 3138.24 2701 2202.95 2490.73 2413.95 2778.86 2555.13 2580.46 2113.89 2438.9 2577.66 2576.99 2141.86 1657.19 1711.61 1476.42 573.34 674.52 843.49 633.88 567.68 383.12 594.95 536.67 698.96 664.84 575.72 244.68 110.04 83.88 72.07 62.37 61.88 44.41 28.34 20.69 13.95 8.68 5.2 3.2 2.07 1.37 0.89 0.7 0.56 0.46 0.39 0.3 0.26 0.23 0.21 0.19 0.17 0.15 0.12 0.09 0.06 0.03 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
